zipCode,Average_Income_Per_Citizen
2480,21966.26773584906
2440,23688.27643755379
2288,24857.76229012935
2280,24857.76229012935
2200,23908.888319160105
2200,23908.888319160105
2200,23908.888319160105
2270,22972.88924923012
2230,23645.15951165147
2230,23645.15951165147
2320,21812.43639154866
2321,21812.43639154866
2328,21812.43639154866
2322,21812.43639154866
2323,21812.43639154866
2235,23646.981919727372
2235,23646.981919727372
2235,23646.981919727372
2460,24659.03677430948
2460,24659.03677430948
2460,24659.03677430948
2275,23601.753580700613
2275,23601.753580700613
2275,23601.753580700613
2275,23601.753580700613
2450,23250.51521260147
2330,22583.455069894306
2400,23240.020923242224
2250,23555.183465994167
2360,24084.92225397041
2382,20786.326916155955
2380,20786.326916155955
2381,20786.326916155955
2470,24082.44959462883
2310,21960.93703216024
2300,20234.52950386804
2290,23511.139782446546
2350,24933.08655736316
2260,23839.895205764547
2260,23839.895205764547
2260,23839.895205764547
2430,23466.4559047106
2431,23466.4559047106
2431,23466.4559047106
1070,13578.30347419342
1160,22633.830371187687
1082,17842.488152464954
1000,15365.288008090956
1130,15365.288008090956
1020,15365.288008090956
1120,15365.288008090956
1040,18010.0123421042
1140,15962.891058185514
1190,17638.57190232832
2430,17638.57190232832
1083,17259.545957022077
1050,20531.95734605348
1090,17226.633175554893
1081,14569.179692416788
1080,12608.647014348224
1060,16719.866069176653
1210,11873.798566573076
1030,14931.300264882431
1180,24200.73499216037
1170,23441.184563248265
1200,20266.11284536117
1150,24490.32497282161
1730,22710.06331334716
1730,22710.06331334716
1730,22710.06331334716
1730,22710.06331334716
1731,22710.06331334716
1731,22710.06331334716
1652,24929.723387096776
1650,24929.723387096776
1653,24929.723387096776
1654,24929.723387096776
1651,24929.723387096776
1547,24184.244918322296
1700,24877.003548936173
1702,24877.003548936173
1701,24877.003548936173
1703,24877.003548936173
1700,24877.003548936173
1700,24877.003548936173
1570,25262.946082809696
1570,25262.946082809696
1570,25262.946082809696
1755,25889.084707254984
1755,25889.084707254984
1755,25889.084707254984
1755,25889.084707254984
1852,24858.901100640112
1850,24858.901100640112
1851,24858.901100640112
1853,24858.901100640112
1501,22785.307591029086
1500,22785.307591029086
2980,22785.307591029086
1502,22785.307591029086
1540,25480.515423628567
1540,25480.515423628567
1560,27451.742327294796
1910,27636.229112896744
1910,27636.229112896744
1910,27636.229112896744
1880,26298.441958794905
1880,26298.441958794905
1880,26298.441958794905
1770,22369.879602219506
1840,25708.20925290336
1840,25708.20925290336
1840,25708.20925290336
1831,18827.81823547252
1860,27524.562198725234
1861,27524.562198725234
1785,25280.500775084554
1785,25280.500775084554
1745,25203.008922095367
1745,25203.008922095367
3090,28285.523007929787
1673,26616.735285745566
1674,26616.735285745566
1670,26616.735285745566
1671,26616.735285745566
1670,26616.735285745566
1670,26616.735285745566
1600,20983.75495173638
1601,20983.75495173638
2870,20983.75495173638
1600,20983.75495173638
1600,20983.75495173638
1602,20983.75495173638
1820,25565.083862375137
1820,25565.083862375137
1820,25565.083862375137
1742,24935.85475739932
1740,24935.85475739932
1741,24935.85475739932
1800,20046.01779775711
1800,20046.01779775711
1930,22176.53005575697
1932,22176.53005575697
1933,22176.53005575697
1930,22176.53005575697
1982,28445.639978593143
1980,28445.639978593143
1982,28445.639978593143
1980,28445.639978593143
1761,25981.988033035563
1760,25981.988033035563
1760,25981.988033035563
1760,25981.988033035563
1760,25981.988033035563
1620,19553.909757306443
1950,25433.136898441397
1630,26694.1836875
1640,28711.000018677627
1780,23592.69368370625
1970,26883.904236719605
1750,26911.928597179514
1750,26911.928597179514
1750,26911.928597179514
1790,25337.435235320158
1790,25337.435235320158
1790,25337.435235320158
1790,25337.435235320158
3200,24933.560200946395
3200,24933.560200946395
3201,24933.560200946395
3202,24933.560200946395
3130,25485.27497568418
3130,25485.27497568418
3460,24499.17988758993
3460,24499.17988758993
3461,24499.17988758993
3060,28303.053432269364
3060,28303.053432269364
3061,28303.053432269364
3360,29279.975670073552
3360,29279.975670073552
3360,29279.975670073552
3360,29279.975670073552
3190,27470.883497700368
3191,27470.883497700368
3370,27705.38825730034
3370,27705.38825730034
3370,27705.38825730034
3370,27705.38825730034
3370,27705.38825730034
3370,27705.38825730034
2100,24169.735651416297
3290,24169.735651416297
3290,24169.735651416297
3293,24169.735651416297
3294,24169.735651416297
3290,24169.735651416297
3290,24169.735651416297
3450,22586.23281813827
3450,22586.23281813827
3454,22586.23281813827
3150,27203.0194897893
3150,27203.0194897893
3150,27203.0194897893
3020,28925.05901377459
3020,28925.05901377459
3020,28925.05901377459
3320,27160.93535383257
3321,27160.93535383257
3220,28393.85246209884
3220,28393.85246209884
3221,28393.85246209884
3220,28393.85246209884
3040,27628.935115079363
3040,27628.935115079363
3040,27628.935115079363
3040,27628.935115079363
3040,27628.935115079363
3140,32128.69437253713
3471,24101.221041405268
3472,24101.221041405268
3470,24101.221041405268
3470,24101.221041405268
3470,24101.221041405268
3473,24101.221041405268
3071,27002.247761472277
3078,27002.247761472277
3070,27002.247761472277
3078,27002.247761472277
3404,24093.77345799558
3400,24093.77345799558
3400,24093.77345799558
3400,24093.77345799558
3400,24093.77345799558
3404,24093.77345799558
3400,24093.77345799558
3400,24093.77345799558
3400,24093.77345799558
3401,24093.77345799558
3401,24093.77345799558
3401,24093.77345799558
3400,24093.77345799558
3401,24093.77345799558
3001,24821.097955906767
3010,24821.097955906767
3000,24821.097955906767
3018,24821.097955906767
3012,24821.097955906767
3211,28627.576871437195
3210,28627.576871437195
3210,28627.576871437195
3212,28627.576871437195
3052,31285.033529666525
3053,31285.033529666525
3050,31285.033529666525
3051,31285.033529666525
3054,31285.033529666525
3110,27765.98203325905
3118,27765.98203325905
3111,27765.98203325905
3080,28176.616190208217
3080,28176.616190208217
3080,28176.616190208217
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3300,22889.075685463868
3128,26648.684896987877
3120,26648.684896987877
3440,23828.13420512229
3440,23828.13420512229
3440,23828.13420512229
3440,23828.13420512229
3440,23828.13420512229
3350,24602.12592182589
3350,24602.12592182589
3350,24602.12592182589
3350,24602.12592182589
3350,24602.12592182589
3350,24602.12592182589
3350,24602.12592182589
3350,24602.12592182589
3271,23861.91441721156
3272,23861.91441721156
3270,23861.91441721156
3272,23861.91441721156
3271,23861.91441721156
3390,25138.119225524475
3391,25138.119225524475
3390,25138.119225524475
3384,26105.771844821236
3380,26105.771844821236
3380,26105.771844821236
2950,26105.771844821236
3381,26105.771844821236
1320,26011.94160813053
1320,26011.94160813053
1320,26011.94160813053
1320,26011.94160813053
1320,26011.94160813053
1420,25437.437782253084
1428,25437.437782253084
1421,25437.437782253084
1440,25255.218503420485
1440,25255.218503420485
1325,29066.00182934056
1325,29066.00182934056
1325,29066.00182934056
1325,29066.00182934056
1325,29066.00182934056
1490,23709.847384186047
1470,25255.11656613258
1470,25255.11656613258
1470,25255.11656613258
1473,25255.11656613258
1476,25255.11656613258
1471,25255.11656613258
1472,25255.11656613258
1474,25255.11656613258
1390,26823.58123267221
1390,26823.58123267221
1390,26823.58123267221
1390,26823.58123267221
1390,26823.58123267221
1315,24663.076161382254
1315,24663.076161382254
1315,24663.076161382254
1315,24663.076161382254
1315,24663.076161382254
1461,25029.651622389545
1460,25029.651622389545
1460,25029.651622389545
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1370,23205.5027750355
1310,27054.3926454257
1435,25432.707643822512
1435,25432.707643822512
1435,25432.707643822512
1401,24589.19388241781
1404,24589.19388241781
1400,24589.19388241781
1400,24589.19388241781
1402,24589.19388241781
1360,24213.08691876751
1360,24213.08691876751
1360,24213.08691876751
1360,24213.08691876751
1332,26878.10178974692
1330,26878.10178974692
1331,26878.10178974692
1480,19744.709976476457
1480,19744.709976476457
1480,19744.709976476457
1480,19744.709976476457
1495,24928.93018888289
1495,24928.93018888289
1495,24928.93018888289
1495,24928.93018888289
1495,24928.93018888289
1410,27684.56522229878
1301,24372.443910958133
1300,24372.443910958133
1300,24372.443910958133
1450,25327.10344872126
1450,25327.10344872126
1450,25327.10344872126
1450,25327.10344872126
1357,22660.274637107414
1357,22660.274637107414
1357,22660.274637107414
1380,30525.7774589534
1380,30525.7774589534
1380,30525.7774589534
1380,30525.7774589534
1380,30525.7774589534
1350,23571.519608662195
1350,23571.519608662195
1350,23571.519608662195
1350,23571.519608662195
1350,23571.519608662195
1350,23571.519608662195
1350,23571.519608662195
1341,22936.735715282623
1342,22936.735715282623
