CD_MUNTY_REFNIS,MS_TOT_NET_INC,MS_TOT_RESIDENTS,Average_Income_Per_Citizen
31012,374369981.04,14539,25749.36247609877
31022,589946626.32,24200,24377.95976528926
31033,466413853.36,20782,22443.164919642
31040,562755772.0,23391,24058.645290923858
31042,68867476.39,2751,25033.615554343876
31043,1068800701.95,32645,32740.104210445705
32003,363191594.32,17174,21147.757908466287
32006,210532234.72,10332,20376.716484707704
32010,190572426.58,8870,21485.053729425028
32011,269681345.49,12873,20949.378193894197
32030,66226119.24,3237,20459.103873957367
33011,770511799.27,35387,21773.866088394043
33016,18040235.34,1074,16797.239608938547
33021,411798778.55,19947,20644.647242693136
33029,388797146.15,19190,20260.403655549766
33037,272768575.22,12658,21549.105326275876
33039,163312586.0,7958,20521.81276702689
33040,174295403.83,8015,21746.15144479102
33041,71244462.26,3611,19729.842774854613
34002,360023904.62,15222,23651.55069110498
34003,227393428.89,10319,22036.38229382692
34009,291622585.83,12561,23216.510296154764
34013,654928104.38,29574,22145.40151416785
34022,1766695526.57,78944,22379.098178075597
34023,304542062.01,14033,21701.850068410175
34025,132735913.63,5863,22639.589566774688
34027,679478339.93,34322,19797.166247013574
34040,909767792.06,39488,23039.095220320094
34041,712724191.88,31795,22416.23500172983
34042,592270286.27,25558,23173.577207527975
34043,44469701.22,2056,21629.23211089494
35002,416550346.11,18081,23038.014828272775
35005,277364268.07,12265,22614.290099470036
35006,311410849.47,14355,21693.545765935218
35011,461046138.81,19755,23338.19988914199
35013,1565533841.85,72175,21690.804874956702
35014,224004537.33,9911,22601.608044596913
35029,327604056.59,12782,25630.10926224378
36006,228390602.11,10142,22519.286344902386
36007,250676942.06,11454,21885.53711017985
36008,635717920.91,29013,21911.485227656565
36010,208474455.54,9770,21338.224722620263
36011,207535220.64,9166,22641.852568186776
36012,247724579.74,11451,21633.445091258407
36015,1426112055.66,65468,21783.345384920878
36019,240939094.17,11639,20701.013331901366
37002,194347835.55,8632,22514.809493744207
37007,241531368.33,11100,21759.582732432435
37010,174820045.9,8021,21795.293093130535
37011,147493375.36,6834,21582.290804799533
